0.15 0.3  0.6  0.8  0.2  0.4  0.9  0.6  0.7  0.5
0.1  0.25 0.5  0.85 0.4  0.65 0.8  0.3  0.2  0.15
0.05 0.4  0.75 0.9  0.6  0.5  0.7  0.35 0.1  0.2
0.2  0.35 0.8  0.3  0.65 0.45 0.15 0.25 0.4  0.75
0.3  0.2  0.5  0.7  0.85 0.95 0.6  0.5  0.45 0.4
0.25 0.4  0.8  0.6  0.3  0.2  0.1  0.35 0.6  0.7
0.1  0.2  0.3  0.25 0.55 0.75 0.9  0.6  0.8  0.85
0.4  0.6  0.7  0.9  0.3  0.2  0.1  0.4  0.55 0.8
0.2  0.3  0.5  0.6  0.7  0.85 0.95 0.9  0.75 0.55
0.1  0.25 0.6  0.4  0.3  0.15 0.1  0.25 0.35 0.5
